City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
116,Albany,US,42.6,-73.97,62.01,40,100,1.01,overcast clouds
117,Yulara,AU,-25.24,130.99,66.2,93,90,11.41,overcast clouds
118,Aljezur,PT,37.32,-8.8,57.0,81,19,1.01,few clouds
119,Talnakh,RU,69.49,88.4,15.8,92,90,6.71,light snow
120,Lavrentiya,RU,65.58,-171.0,35.65,89,20,3.33,few clouds
121,Jimma,ET,7.67,36.83,60.85,86,95,1.48,overcast clouds
122,Tuatapere,NZ,-46.13,167.68,46.99,95,100,4.0,light rain
123,Yellowknife,CA,62.46,-114.35,28.99,92,90,8.05,mist
124,Balad,IQ,34.02,44.15,73.26,25,0,6.93,clear sky
125,Wanning,CN,18.8,110.4,77.43,87,100,19.82,light rain
126,Mabaruma,GY,8.2,-59.78,85.26,64,99,7.07,overcast clouds
127,Nuuk,GL,64.18,-51.72,53.6,50,40,20.8,scattered clouds
128,Graaff-Reinet,ZA,-32.25,24.53,57.99,65,0,3.0,clear sky
129,Tuktoyaktuk,CA,69.45,-133.04,15.8,92,20,3.36,few clouds
130,Khatanga,RU,71.97,102.5,7.18,85,50,8.79,scattered clouds
131,Bethel,US,41.37,-73.41,61.0,51,40,8.05,scattered clouds
132,Merauke,ID,-8.47,140.33,77.63,84,100,9.82,overcast clouds
133,Nabire,ID,-3.37,135.48,75.15,88,100,2.66,moderate rain
134,Turukhansk,RU,65.82,87.98,23.85,98,100,13.4,light snow
135,Haines Junction,CA,60.75,-137.51,23.88,79,100,1.21,overcast clouds
136,Puerto Ayora,EC,-0.74,-90.35,78.8,69,40,18.34,scattered clouds
137,Vysokogornyy,RU,50.12,139.15,21.94,83,0,10.49,clear sky
138,Katsuura,JP,35.13,140.3,57.2,76,75,10.29,broken clouds
139,Ribeira Grande,PT,38.52,-28.7,62.6,72,40,19.46,scattered clouds
140,Marsh Harbour,BS,26.54,-77.06,78.37,79,100,5.88,overcast clouds
141,Kaeo,NZ,-35.1,173.78,61.0,91,21,11.99,few clouds
142,Serenje,ZM,-13.23,30.24,66.99,44,0,4.41,clear sky
143,Lorengau,PG,-2.02,147.27,81.88,79,100,8.05,overcast clouds
144,Enshi,CN,30.3,109.48,52.34,84,86,1.12,overcast clouds
145,Coos Bay,US,43.37,-124.22,73.0,72,90,3.36,overcast clouds
146,Pochinok,RU,54.41,32.44,38.32,88,100,16.82,light rain
147,Salamiyah,SY,35.01,37.05,63.16,38,100,4.0,overcast clouds
148,Cururupu,BR,-1.83,-44.87,83.39,64,98,6.2,overcast clouds
149,Cidreira,BR,-30.18,-50.21,69.37,80,47,19.46,scattered clouds
150,Jieshi,CN,22.81,115.83,73.99,69,14,1.99,few clouds
151,Hollabrunn,AT,48.55,16.08,46.0,86,59,6.06,broken clouds
152,Birao,CF,10.28,22.79,76.89,46,28,2.84,scattered clouds
153,Souillac,MU,-20.52,57.52,73.4,78,40,11.41,scattered clouds
154,Black Forest,US,39.01,-104.7,33.8,54,90,13.87,overcast clouds
155,Kuala Lipis,MY,4.18,102.05,74.28,92,100,1.3,overcast clouds
156,Canberra,AU,-35.28,149.13,52.0,87,40,5.82,scattered clouds
157,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,24,40,28.86,scattered clouds
158,Kavieng,PG,-2.57,150.8,82.2,76,56,10.29,broken clouds
159,Port Elizabeth,ZA,-33.92,25.57,57.2,87,0,3.36,clear sky
160,Cape Town,ZA,-33.93,18.42,61.0,82,20,13.87,few clouds
161,Mpongwe,ZM,-13.51,28.16,71.69,32,0,8.7,clear sky
162,Igboho,NG,8.83,3.75,75.78,81,0,2.51,clear sky
163,Saint Anthony,US,45.02,-93.22,33.8,50,90,6.93,overcast clouds
164,Guiyang,CN,26.58,106.72,50.0,93,75,4.47,broken clouds
165,Esperance,AU,-33.87,121.9,51.8,100,96,8.05,overcast clouds
166,Sao Filipe,CV,14.9,-24.5,80.47,80,0,5.46,clear sky
167,Izumo,JP,35.37,132.77,53.6,93,75,4.7,broken clouds
168,Pedra Azul,BR,-16.01,-41.3,74.19,61,100,7.23,overcast clouds
169,Cabedelo,BR,-6.98,-34.83,80.6,69,20,12.75,few clouds
170,Tres Lagoas,BR,-20.75,-51.68,96.42,21,56,10.54,broken clouds
171,Mayumba,GA,-3.43,10.66,77.97,89,100,8.34,light rain
172,Praxedis Guerrero,MX,31.37,-106.02,87.8,8,5,13.87,clear sky
173,Grand Gaube,MU,-20.01,57.66,72.0,73,0,3.0,clear sky
174,Veraval,IN,20.9,70.37,82.04,84,100,7.58,light rain
175,Fortuna,US,40.6,-124.16,62.6,59,20,14.99,few clouds
176,Kuala Terengganu,MY,5.33,103.14,77.0,94,20,2.24,few clouds
177,Mildura,AU,-34.2,142.15,43.0,93,0,4.7,clear sky
178,Te Anau,NZ,-45.42,167.72,44.53,92,100,2.28,light rain
179,Saskylakh,RU,71.92,114.08,20.79,97,100,6.51,overcast clouds
180,Luanda,AO,-8.84,13.23,77.0,83,75,6.93,broken clouds
181,Padang,ID,-0.95,100.35,78.17,77,98,3.91,overcast clouds
182,Leningradskiy,RU,69.38,178.42,22.37,88,0,6.67,clear sky
183,Hay River,CA,60.82,-115.8,26.6,58,75,8.05,broken clouds
184,Upernavik,GL,72.79,-56.15,31.55,93,6,10.11,clear sky
185,Barsovo,RU,61.17,73.17,30.2,74,75,8.95,broken clouds
186,Jumla,NP,29.27,82.18,51.51,64,3,4.65,clear sky
187,Isangel,VU,-19.55,169.27,74.46,67,2,5.68,clear sky
188,Salalah,OM,17.02,54.09,78.8,34,0,4.7,clear sky
189,Sabang,ID,5.89,95.32,83.19,73,99,15.93,overcast clouds
190,High Rock,BS,26.62,-78.28,82.4,78,75,14.99,broken clouds
191,Boa Vista,BR,2.82,-60.67,96.8,34,40,9.17,scattered clouds
192,Provideniya,RU,64.38,-173.3,35.6,80,75,4.47,broken clouds
193,Manoel Urbano,BR,-8.84,-69.26,85.19,61,75,7.83,moderate rain
194,Gramsh,AL,40.87,20.18,55.33,68,0,3.02,clear sky
195,Wadern,DE,49.53,6.88,46.0,91,100,1.01,overcast clouds
196,Meulaboh,ID,4.14,96.13,76.26,83,100,4.03,overcast clouds
197,Gornyy,RU,55.12,83.91,29.97,93,58,13.31,broken clouds
198,Hofn,IS,64.25,-15.21,43.27,74,80,17.11,broken clouds
199,Christchurch,NZ,-43.53,172.63,57.99,93,100,1.12,overcast clouds
200,Nanortalik,GL,60.14,-45.24,39.0,95,92,8.46,overcast clouds
201,Leiyang,CN,26.4,112.86,55.99,91,99,6.06,overcast clouds
202,Nushki,PK,29.55,66.02,47.59,44,0,1.21,clear sky
203,Yumen,CN,40.28,97.2,44.47,45,100,19.95,overcast clouds
204,Port Lincoln,AU,-34.73,135.87,51.82,80,41,7.2,scattered clouds
205,Pevek,RU,69.7,170.31,23.85,94,96,16.71,overcast clouds
206,Saint George,US,37.1,-113.58,82.99,10,1,6.38,clear sky
207,Severo-Kurilsk,RU,50.68,156.12,45.66,82,5,13.49,clear sky
208,Riyadh,SA,24.69,46.72,68.0,24,0,3.36,clear sky
209,Ilheus,BR,-14.79,-39.05,76.21,74,6,9.84,clear sky
210,Olga,RU,43.74,135.29,40.3,71,35,6.44,scattered clouds
211,Zaozerne,UA,45.16,33.28,61.38,68,19,6.24,few clouds
212,Atuona,PF,-9.8,-139.03,77.76,77,3,18.88,light rain
213,San Quintin,MX,30.48,-115.95,81.93,42,99,17.07,overcast clouds
214,Saint-Philippe,RE,-21.36,55.77,69.8,68,4,3.36,clear sky
215,Okhotsk,RU,59.38,143.3,25.03,85,34,15.61,scattered clouds
216,Chuy,UY,-33.7,-53.46,75.88,62,0,7.63,clear sky
217,Sulangan,PH,11.14,123.72,83.64,77,100,11.92,light rain
218,Hobyo,SO,5.35,48.53,80.01,77,3,18.12,clear sky
219,San Ramon,US,37.78,-121.98,90.0,16,1,6.93,clear sky
220,Portland,US,45.52,-122.68,66.2,68,75,11.41,broken clouds
221,Mombetsu,JP,44.35,143.35,49.87,79,54,9.48,broken clouds
222,Ambulu,ID,-8.35,113.61,75.0,88,64,4.29,broken clouds
223,San Cristobal,VE,7.77,-72.22,93.2,34,20,14.99,few clouds
224,Naustdal,NO,61.51,5.72,39.2,86,40,3.36,scattered clouds
225,Konevo,RU,62.12,39.32,31.41,99,100,4.18,overcast clouds
226,Broken Hill,AU,-31.95,141.43,44.6,81,0,6.93,clear sky
227,Kampot,KH,10.62,104.18,77.16,87,100,3.87,light rain
228,Benguela,AO,-12.58,13.41,75.49,76,43,2.62,scattered clouds
229,Harlingen,US,26.19,-97.7,91.99,52,40,14.99,scattered clouds
230,Tamandare,BR,-8.76,-35.1,77.09,73,91,9.42,overcast clouds
231,Bathsheba,BB,13.22,-59.52,84.2,70,40,4.7,shower rain
232,Paoua,CF,7.24,16.44,72.23,83,18,1.07,few clouds
233,Cabo San Lucas,MX,22.89,-109.91,90.0,70,40,2.24,scattered clouds
234,Kirovskiy,RU,45.09,133.51,35.55,86,0,4.34,clear sky
235,Port Blair,IN,11.67,92.75,80.53,83,100,14.67,light rain
236,Panama City,PA,8.99,-79.52,79.0,88,75,8.05,broken clouds
237,Krasnovishersk,RU,60.41,57.08,32.65,96,100,9.98,overcast clouds
238,Megion,RU,61.03,76.11,26.6,86,13,8.95,few clouds
239,Byron Bay,AU,-28.65,153.62,62.6,100,75,6.06,broken clouds
240,Clyde River,CA,70.47,-68.59,30.2,92,90,6.93,overcast clouds
241,Royan,FR,45.63,-1.03,50.0,81,73,2.24,broken clouds
242,Chapais,CA,49.78,-74.85,46.4,75,90,16.11,overcast clouds
243,Chimore,BO,-16.98,-65.13,101.32,22,50,4.94,scattered clouds
244,Bandarbeyla,SO,9.49,50.81,79.43,80,0,3.13,clear sky
245,Paamiut,GL,61.99,-49.67,42.46,85,44,33.91,scattered clouds
246,Olafsvik,IS,64.89,-23.71,42.04,78,53,30.53,broken clouds
247,Chokurdakh,RU,70.63,147.92,19.04,98,92,6.26,overcast clouds
248,Ahipara,NZ,-35.17,173.17,61.38,82,22,8.97,few clouds
249,Pringsewu,ID,-5.36,104.97,73.87,93,97,2.64,overcast clouds
250,Baherden,TM,38.44,57.43,62.29,28,0,9.22,clear sky
251,Ouallam,NE,14.32,2.09,96.17,20,71,8.72,broken clouds
252,Sitka,US,57.05,-135.33,42.8,70,90,11.41,overcast clouds
253,Ochando,ES,41.05,-4.44,54.0,52,100,8.21,overcast clouds
254,Castro,BR,-24.79,-50.01,69.03,74,100,7.49,overcast clouds
255,Goes,NL,51.5,3.89,50.0,95,61,1.01,broken clouds
256,Belmonte,BR,-15.86,-38.88,75.2,78,75,5.82,broken clouds
257,Shalinskoye,RU,55.72,93.76,29.89,91,21,13.44,few clouds
258,Markova,UA,48.68,24.41,38.64,81,32,7.52,scattered clouds
259,Beyneu,KZ,45.32,55.2,57.24,32,0,14.2,clear sky
260,Sungaipenuh,ID,-2.08,101.38,65.48,90,96,1.74,overcast clouds
261,Rio Grande,BR,-32.03,-52.1,77.0,65,0,7.0,clear sky
262,Havoysund,NO,71.0,24.66,37.4,93,40,5.82,shower rain
263,Taitung,TW,22.76,121.14,76.69,79,99,13.69,light rain
264,Ferme-Neuve,CA,46.7,-75.45,50.05,60,100,15.05,overcast clouds
265,Pangnirtung,CA,66.15,-65.71,46.4,84,90,18.34,light rain
266,Imbituba,BR,-28.24,-48.67,71.6,78,75,13.87,broken clouds
267,Dondo,MZ,-19.61,34.74,71.6,83,0,5.82,clear sky
268,Koslan,RU,63.46,48.9,30.09,98,100,9.1,overcast clouds
269,Kedrovyy,RU,56.17,91.82,33.8,55,40,11.18,scattered clouds
270,Homer,US,59.64,-151.55,39.99,86,75,1.99,broken clouds
271,Tiarei,PF,-17.53,-149.33,84.2,74,40,16.11,scattered clouds
272,Ploemeur,FR,47.73,-3.43,48.0,87,100,5.82,overcast clouds
273,Anadyr,RU,64.75,177.48,17.6,92,0,4.47,fog
274,Vao,NC,-22.67,167.48,70.95,81,15,17.36,few clouds
275,Okha,RU,53.57,142.95,35.2,86,87,20.56,overcast clouds
276,Roma,US,43.21,-75.46,61.0,50,1,10.29,clear sky
277,Longyearbyen,SJ,78.22,15.64,26.6,73,20,8.05,few clouds
278,Manzanillo,CU,20.34,-77.12,86.67,67,95,3.33,light rain
279,Bengkulu,ID,-3.8,102.27,75.06,93,100,6.67,moderate rain
280,Buchanan,LR,5.88,-10.05,78.8,88,75,6.87,broken clouds
281,San Andres,CO,12.58,-81.7,86.0,79,75,5.82,broken clouds
282,Tura,IN,25.52,90.22,73.0,90,0,1.72,clear sky
283,Lebanon,US,36.21,-86.29,66.0,77,75,4.7,broken clouds
284,Airai,TL,-8.93,125.41,60.22,69,23,2.26,few clouds
285,La Ronge,CA,55.1,-105.28,28.4,74,90,11.41,overcast clouds
286,Hasaki,JP,35.73,140.83,48.2,100,40,5.82,fog
287,Baglung,NP,28.27,83.59,66.04,75,64,1.81,light rain
288,Syedove,UA,47.08,38.16,57.0,100,100,5.99,overcast clouds
289,San Jeronimo,PE,-11.95,-75.28,66.85,31,21,8.61,light rain
290,Coracao De Jesus,BR,-16.69,-44.37,80.56,53,50,6.71,scattered clouds
291,Korem,ET,12.51,39.52,54.46,72,16,3.31,few clouds
292,Pochutla,MX,15.74,-96.47,91.0,58,40,9.17,scattered clouds
293,Asau,RO,46.43,26.4,46.0,83,79,4.65,broken clouds
294,Oktyabrskiy,RU,54.48,53.47,51.28,60,100,18.05,light rain
295,Richmond Hill,CA,43.87,-79.44,55.99,63,100,4.0,overcast clouds
296,Chingirlau,KZ,51.09,54.08,55.08,38,0,14.03,clear sky
297,Hamilton,US,39.18,-84.53,61.0,67,90,10.29,overcast clouds
298,Heihe,CN,50.24,127.49,28.4,68,20,4.47,few clouds
299,Morondava,MG,-20.28,44.28,75.67,89,10,6.76,clear sky
300,Coihaique,CL,-45.58,-72.07,41.0,80,90,12.75,moderate rain
301,Broome,US,42.25,-75.83,59.0,30,1,10.29,clear sky
302,Muisne,EC,0.6,-80.03,80.6,83,90,10.29,overcast clouds
303,Rusape,ZW,-18.53,32.13,64.27,42,16,3.98,few clouds
304,Lasa,IT,46.62,10.7,42.01,72,5,1.23,clear sky
305,Guerrero Negro,MX,27.98,-114.06,84.15,42,94,10.58,overcast clouds
