City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Cayenne,4.93,-52.33,87.8,58,0,13.87,GF,2020-10-14 19:55:46
120,Camana,-16.62,-72.71,64.85,64,60,6.08,PE,2020-10-14 19:56:50
121,Butaritari,3.07,172.79,81.9,76,100,11.54,KI,2020-10-14 19:56:50
122,Alyangula,-13.85,136.42,73.4,100,4,10.18,AU,2020-10-14 19:56:50
123,Tasquillo,20.55,-99.3,76.46,47,34,8.79,MX,2020-10-14 19:56:04
124,Tiksi,71.69,128.87,10.67,92,0,2.46,RU,2020-10-14 19:55:02
125,Faya,18.39,42.45,64.4,72,0,6.17,SA,2020-10-14 19:56:50
126,Aden,12.78,45.04,85.68,65,0,1.16,YE,2020-10-14 19:52:56
127,Salalah,17.02,54.09,78.8,94,40,3.36,OM,2020-10-14 19:55:35
128,Khanu Woralaksaburi,16.06,99.86,74.89,90,100,1.9,TH,2020-10-14 19:56:50
129,Kruisfontein,-34.0,24.73,62.01,74,0,11.99,ZA,2020-10-14 19:56:50
130,Bukavu,-2.51,28.86,62.47,84,71,1.39,CD,2020-10-14 19:56:50
131,Chichester,50.84,-0.78,53.01,85,100,3.0,GB,2020-10-14 19:54:07
132,Yarada,17.65,83.27,80.6,94,75,2.24,IN,2020-10-14 19:56:51
133,Palencia,42.42,-4.5,48.0,62,1,4.0,ES,2020-10-14 19:56:51
134,Jamestown,42.1,-79.24,61.0,36,1,6.93,US,2020-10-14 19:52:32
135,Rena,61.13,11.36,34.0,89,1,1.01,NO,2020-10-14 19:56:51
136,Paamiut,61.99,-49.67,37.76,87,92,9.42,GL,2020-10-14 19:56:51
137,Ahipara,-35.17,173.17,56.52,72,16,14.05,NZ,2020-10-14 19:56:51
138,Cajamarca,-7.16,-78.5,68.0,34,75,9.17,PE,2020-10-14 19:56:51
139,Bengkulu,-3.8,102.27,76.19,87,100,3.62,ID,2020-10-14 19:56:51
140,Hearst,49.68,-83.67,50.22,53,98,5.91,CA,2020-10-14 19:57:56
141,Verkhoyansk,67.54,133.38,18.73,95,100,3.89,RU,2020-10-14 19:57:56
142,Hithadhoo,-0.6,73.08,82.74,76,24,13.47,MV,2020-10-14 19:57:57
143,Torbay,47.67,-52.73,52.0,76,75,18.34,CA,2020-10-14 19:57:57
144,Envira,-7.3,-70.22,87.49,55,55,4.0,BR,2020-10-14 19:57:57
145,Mount Gambier,-37.83,140.77,59.0,82,100,17.22,AU,2020-10-14 19:57:57
146,Aklavik,68.22,-135.01,23.0,79,40,3.62,CA,2020-10-14 19:57:57
147,Dingle,11.0,122.67,74.82,90,100,5.5,PH,2020-10-14 19:55:46
148,Hobyo,5.35,48.53,80.06,84,4,16.26,SO,2020-10-14 19:57:57
149,Husavik,66.04,-17.34,48.2,57,100,18.34,IS,2020-10-14 19:56:45
150,Pontarlier,46.83,6.25,42.01,75,27,7.0,FR,2020-10-14 19:57:57
151,Barrow,71.29,-156.79,24.8,68,90,14.99,US,2020-10-14 19:57:57
152,Novyy Urengoy,66.08,76.63,31.12,90,0,15.12,RU,2020-10-14 19:54:31
153,Sobolevo,54.43,31.9,51.94,93,59,8.72,RU,2020-10-14 19:57:57
154,Marfino,55.7,37.38,59.0,76,40,4.47,RU,2020-10-14 19:57:58
155,Kodiak,57.79,-152.41,42.8,81,1,4.7,US,2020-10-14 19:57:58
156,Annaka,36.32,138.9,61.0,93,23,1.86,JP,2020-10-14 19:57:58
157,Berlevag,70.86,29.09,37.4,86,40,16.11,NO,2020-10-14 19:57:58
158,Magadan,59.57,150.8,36.79,81,100,9.19,RU,2020-10-14 19:57:58
159,Cuyamel,15.67,-88.2,86.0,66,75,3.36,HN,2020-10-14 19:57:58
160,Lebu,-37.62,-73.65,55.2,66,0,16.11,CL,2020-10-14 19:57:58
161,Palmer,42.16,-72.33,71.6,28,20,8.05,US,2020-10-14 19:57:59
162,Ossora,59.24,163.07,43.88,96,100,15.17,RU,2020-10-14 19:57:59
163,Bafq,31.61,55.41,50.85,36,0,2.08,IR,2020-10-14 19:57:59
164,Ust-Omchug,61.15,149.63,23.94,91,51,2.3,RU,2020-10-14 19:57:59
165,Fort Stewart,31.87,-81.61,86.0,55,75,8.05,US,2020-10-14 19:57:59
166,Uyemskiy,64.47,40.85,32.0,91,50,4.47,RU,2020-10-14 19:57:59
167,Tabas,33.6,56.92,68.0,13,0,6.93,IR,2020-10-14 19:57:59
