City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
199,Ambon,ID,-3.7,128.18,75.2,94,40,9.17,scattered clouds
200,Rio Grande,BR,-32.03,-52.1,82.99,59,0,3.0,clear sky
201,Salalah,OM,17.02,54.09,80.6,69,0,2.24,clear sky
202,Puerto Escondido,MX,15.85,-97.07,86.0,70,5,5.44,clear sky
203,Eureka,US,40.8,-124.16,51.8,100,1,7.29,clear sky
204,Bathsheba,BB,13.22,-59.52,84.2,74,75,6.93,shower rain
205,Saldanha,ZA,-33.01,17.94,68.0,49,43,13.87,scattered clouds
206,Zhangye,CN,38.93,100.45,43.65,48,0,2.3,clear sky
207,Tecpan,GT,14.76,-90.99,75.99,64,75,16.11,broken clouds
208,Biak,ID,-0.91,122.88,76.82,79,96,4.9,overcast clouds
209,Krasnoselkup,RU,65.7,82.47,16.45,96,98,19.3,overcast clouds
210,Bontang,ID,0.13,117.5,80.64,83,98,8.61,overcast clouds
211,Strezhevoy,RU,60.73,77.59,30.2,74,40,11.18,scattered clouds
212,Cabo San Lucas,MX,22.89,-109.91,87.01,74,5,8.05,clear sky
213,Narsaq,GL,60.92,-46.05,41.0,88,56,3.09,broken clouds
214,Manavadar,IN,21.5,70.13,81.73,83,0,7.14,clear sky
215,Capaci,IT,38.17,13.24,66.2,63,40,2.24,scattered clouds
216,Paonta Sahib,IN,30.45,77.62,71.49,51,38,4.61,scattered clouds
217,Seymchan,RU,62.88,152.43,22.17,85,96,2.55,overcast clouds
218,Son La,VN,21.32,103.9,62.64,84,100,2.59,overcast clouds
219,Cidreira,BR,-30.18,-50.21,71.8,70,95,17.45,overcast clouds
220,Bure,ET,10.7,37.07,56.26,91,47,3.56,scattered clouds
221,Necochea,AR,-38.55,-58.74,69.6,63,43,11.65,scattered clouds
222,Mahebourg,MU,-20.41,57.7,75.2,69,40,9.17,scattered clouds
223,Honningsvag,NO,70.98,25.97,37.4,93,75,1.12,shower rain
224,Severo-Kurilsk,RU,50.68,156.12,45.48,81,31,10.92,scattered clouds
225,Mikhaylovskoye,RU,51.82,79.72,36.07,75,0,8.39,clear sky
226,Saint-Pierre,RE,-21.34,55.48,75.2,69,4,11.41,clear sky
227,Normandin,CA,48.83,-72.53,50.0,57,90,14.99,overcast clouds
228,Yulara,AU,-25.24,130.99,68.0,88,90,13.87,moderate rain
229,Chickasha,US,35.05,-97.94,72.0,82,12,1.01,few clouds
230,Pangnirtung,CA,66.15,-65.71,42.8,81,90,19.46,overcast clouds
