City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
414,Perth,AU,64.4,clear sky,-31.93,115.83,Parmelia Hilton Perth
415,Cuamba,MZ,74.98,few clouds,-14.8,36.54,Hotel Vision
416,Hargeysa,SO,68.52,clear sky,9.56,44.06,Imperial Hotel
417,Victoria,HK,75.0,scattered clouds,22.29,114.16,Mini Hotel Central
419,Sangmelima,CM,68.94,light rain,2.93,11.98,gamestar hotel
429,Alofi,NU,75.2,shower rain,-19.06,-169.92,Taloa Heights
430,Batticaloa,LK,78.62,light rain,7.71,81.69,Grand Star Guest House
431,Mersing,MY,78.8,overcast clouds,2.43,103.84,Timotel Hotel
432,Lompoc,US,75.2,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
434,Tchollire,CM,76.28,clear sky,8.4,14.17,"Auberge ""l'amicale"""
435,Sumbe,AO,75.99,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
437,Santa Vitoria Do Palmar,BR,76.1,clear sky,-33.52,-53.37,Hostel Comodoro
438,Hirara,JP,77.79,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
440,Camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
441,Pa Sang,TH,75.2,broken clouds,18.53,98.94,โรงแรม จามจุรี 99
443,Phayao,TH,66.27,overcast clouds,19.25,100.25,chuthagarden
444,Zambezi,ZM,72.93,clear sky,-13.54,23.1,Royal Kutachika Lodge
446,Aksehir,TR,61.97,overcast clouds,38.36,31.42,GRAND HOTEL AKŞEHİR
450,Cedar City,US,75.2,clear sky,37.68,-113.06,Hampton Inn Cedar City
451,Elk Plain,US,64.4,overcast clouds,47.05,-122.4,Loveland Mobile Estates
464,Bela,IN,76.53,clear sky,25.93,81.98,Siddharth Hotel
465,Rocha,UY,77.79,clear sky,-34.48,-54.33,Beleza Pura B&B
466,Colares,PT,64.0,overcast clouds,38.8,-9.45,Arribas Sintra Hotel
467,Da Nang,VN,77.0,heavy intensity rain,16.07,108.22,Grand Mercure Danang
475,Ghanzi,BW,74.73,clear sky,-21.57,21.78,Ghanzi Farmhouse
478,Antalaha,MG,70.38,clear sky,-14.9,50.28,Hotel Vitasoa
479,Barcelos,PT,68.0,overcast clouds,41.54,-8.62,Hotel Do Terço
482,Manjacaze,MZ,69.96,clear sky,-24.71,33.88,Hotel Gani
484,Tabou,CI,77.4,light rain,4.42,-7.35,hotêl doufoulougou
485,Terrasini,IT,62.6,few clouds,38.15,13.08,Florio Park Hotel
486,Caxias,PT,64.0,broken clouds,38.7,-9.28,Amazónia Jamor Hotel
490,Rio Claro,BR,77.72,overcast clouds,-22.41,-47.56,Hotel Vivendas Rio Claro by Atlantica
494,Tevaitoa,PF,79.99,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
496,Carballo,ES,64.99,light rain,43.21,-8.69,Pazo do Souto
498,Puruandiro,MX,77.0,few clouds,20.08,-101.5,Hotel aries
499,Gorontalo,ID,74.48,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
502,Buraydah,SA,73.4,clear sky,26.33,43.98,Mövenpick Hotel Qassim
504,Port-Gentil,GA,78.8,broken clouds,-0.72,8.78,Fengshui Residence
505,Zagora,MA,71.24,overcast clouds,30.35,-5.84,Prends Ton Temps
509,Garowe,SO,78.96,few clouds,8.41,48.48,Curubo Hotel
511,Havelock,US,73.99,clear sky,34.88,-76.9,Sherwood Motel
512,Durusu,TR,64.99,broken clouds,41.31,28.68,Çınar Pansiyon
513,Chiredzi,ZW,75.96,clear sky,-21.05,31.67,The Nesbitt Arms
515,Daru,PG,78.75,overcast clouds,-9.08,143.21,New century hotel
517,Maumere,ID,79.21,few clouds,-8.62,122.21,Sylvia Hotel
519,Senanga,ZM,74.32,clear sky,-16.12,23.27,Christopher Nasilele House
520,Pachino,IT,63.0,overcast clouds,36.72,15.09,Il Veliero
521,Uvira,CD,76.48,broken clouds,-3.41,29.15,Auberge Eden City
522,Kayankulam,IN,76.77,light rain,9.18,76.5,Hotel Royal Indraprastha
523,Alice Springs,AU,71.6,broken clouds,-23.7,133.88,Desert Palms Alice Springs
525,Sampit,ID,72.86,moderate rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
526,Guadalupe Y Calvo,MX,75.9,few clouds,26.1,-106.97,Hotel Pizarro
527,Sarai Naurang,PK,72.39,clear sky,32.83,70.78,Zargar ice Factory
528,Candolim,IN,77.0,mist,15.52,73.76,Resort Terra Paraiso
530,Vangaindrano,MG,68.79,overcast clouds,-23.35,47.6,Hotel Fanilo
531,Paralimni,CY,75.0,clear sky,35.04,33.98,Amore Hotel Apartments
534,Betong,TH,71.89,overcast clouds,5.77,101.07,New Cathay Hotel
536,Nago,JP,73.4,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
537,Langarud,IR,62.6,mist,37.2,50.15,ستاد اسکان فرهنگیان لنگرود
538,Bontang,ID,78.85,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
540,Marawi,PH,75.0,overcast clouds,8.0,124.29,Derogongan Residence
541,Hihya,EG,73.4,clear sky,30.67,31.59,Host Central
546,Gondanglegi,ID,76.68,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
549,Bundaberg,AU,71.01,scattered clouds,-24.85,152.35,Takalvan Motel
552,Turayf,SA,66.2,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
553,Maningrida,AU,75.47,broken clouds,-12.07,134.27,Dhukurrdji Lodge
555,Mwinilunga,ZM,68.83,clear sky,-11.74,24.43,Kwakuwahi Lodge
556,Dingle,PH,76.28,overcast clouds,11.0,122.67,Camp Pasica
560,Alappuzha,IN,78.15,overcast clouds,9.49,76.33,Panoramic Sea Resort
566,Karratha,AU,62.44,clear sky,-20.74,116.85,ibis Styles Karratha
570,Tlacotepec,MX,71.6,few clouds,20.07,-97.87,IGLESIA SAN ISIDRO LABRADOR
572,Eureka,US,64.99,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
573,Kifri,IQ,69.15,clear sky,34.7,44.97,میزان کفری
582,Labuhan,ID,78.21,broken clouds,-6.88,112.21,bador sepret
586,Sechura,PE,76.21,clear sky,-5.56,-80.82,Hospedaje Costa Bella
587,Kissamos,GR,71.01,broken clouds,35.49,23.66,Galini Beach Hotel
589,Chiriqui Grande,PA,69.01,light rain,8.95,-82.12,Hospedaje Cervera
596,Kasempa,ZM,69.62,clear sky,-13.46,25.83,Miracle Guest House
599,San Julian,MX,75.22,scattered clouds,21.02,-102.17,La Nueva España
603,Kanniyakumari,IN,79.03,overcast clouds,8.08,77.57,Sparsa
605,Olavarria,AR,79.11,moderate rain,-36.89,-60.32,Hotel Santa Rosa
607,Axim,GH,77.68,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
611,La Grande,US,62.01,overcast clouds,45.32,-118.09,Travelodge by Wyndham La Grande
612,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
613,Pangai,TO,75.2,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
616,Hervey Bay,AU,73.0,clear sky,-25.3,152.85,Shelly Bay Resort
